epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,6547.74,0.82187,0.791,0.80189,0.54402,0.30571,0.34237,0.26803,0.79797,0.88802,0.80382,3.49328e-05,3.49328e-05,3.49328e-05
40,6715.28,0.829,0.78507,0.80252,0.58616,0.2999,0.34539,0.2699,0.80027,0.90021,0.80513,3.43784e-05,3.43784e-05,3.43784e-05
41,6883.31,0.82663,0.77708,0.80167,0.53426,0.31446,0.34395,0.2683,0.79755,0.89371,0.80384,3.3824e-05,3.3824e-05,3.3824e-05
42,7053.4,0.82252,0.75423,0.80177,0.60408,0.30317,0.34615,0.26954,0.7977,0.87802,0.80418,3.32696e-05,3.32696e-05,3.32696e-05
43,7221.18,0.81248,0.73393,0.80057,0.56811,0.30029,0.34592,0.27001,0.79434,0.89224,0.8044,3.27152e-05,3.27152e-05,3.27152e-05
44,7390.51,0.81234,0.73873,0.80201,0.62018,0.29781,0.34724,0.27098,0.79061,0.8737,0.8045,3.21608e-05,3.21608e-05,3.21608e-05
45,7559.96,0.8192,0.72948,0.80094,0.61956,0.29798,0.35304,0.27526,0.79575,0.86687,0.80438,3.16064e-05,3.16064e-05,3.16064e-05
46,7727.33,0.80967,0.72408,0.80162,0.58897,0.30252,0.35058,0.27271,0.79274,0.8703,0.80378,3.1052e-05,3.1052e-05,3.1052e-05
47,7895.49,0.80791,0.71584,0.80124,0.5712,0.32378,0.35223,0.27329,0.79726,0.8755,0.80422,3.04976e-05,3.04976e-05,3.04976e-05
48,8063.6,0.80112,0.71395,0.80254,0.55045,0.32225,0.36497,0.28475,0.79296,0.86459,0.80365,2.99432e-05,2.99432e-05,2.99432e-05
49,8231.56,0.80637,0.70966,0.80222,0.58047,0.31405,0.35997,0.28,0.79272,0.86273,0.8045,2.93888e-05,2.93888e-05,2.93888e-05
50,8396.84,0.80684,0.71002,0.80095,0.5785,0.33919,0.37485,0.29295,0.7887,0.84643,0.80354,2.88344e-05,2.88344e-05,2.88344e-05
51,8563.19,0.80476,0.71044,0.80125,0.5452,0.33135,0.37161,0.28851,0.78961,0.8512,0.80395,2.828e-05,2.828e-05,2.828e-05
52,8729.65,0.80365,0.69469,0.79951,0.53792,0.34257,0.37305,0.29039,0.78776,0.84447,0.80396,2.77256e-05,2.77256e-05,2.77256e-05
53,8895,0.79518,0.68382,0.80199,0.5747,0.32299,0.37103,0.28814,0.79053,0.85185,0.80372,2.71712e-05,2.71712e-05,2.71712e-05
54,9060.39,0.80331,0.68726,0.79994,0.57249,0.33677,0.37579,0.2914,0.789,0.84484,0.80412,2.66168e-05,2.66168e-05,2.66168e-05
55,9226.23,0.78674,0.66083,0.79864,0.59623,0.325,0.37484,0.29186,0.78822,0.84798,0.80379,2.60624e-05,2.60624e-05,2.60624e-05
56,9392.12,0.79395,0.6671,0.80117,0.5335,0.3459,0.38258,0.29825,0.78782,0.83773,0.80382,2.5508e-05,2.5508e-05,2.5508e-05
57,9556.81,0.78175,0.65725,0.79853,0.56978,0.32127,0.38145,0.29695,0.7862,0.83133,0.80366,2.49536e-05,2.49536e-05,2.49536e-05
58,9721.99,0.80101,0.66498,0.79826,0.56757,0.33034,0.37746,0.29417,0.78888,0.83589,0.8034,2.43992e-05,2.43992e-05,2.43992e-05
59,9888.24,0.79507,0.65029,0.79786,0.54206,0.33576,0.37599,0.29188,0.78888,0.83729,0.8042,2.38448e-05,2.38448e-05,2.38448e-05
60,10057.6,0.79088,0.65421,0.79606,0.57293,0.34787,0.38089,0.29527,0.7881,0.84179,0.80418,2.32904e-05,2.32904e-05,2.32904e-05
61,10227.2,0.78349,0.64429,0.79759,0.5101,0.3795,0.3892,0.30051,0.78832,0.82578,0.80368,2.2736e-05,2.2736e-05,2.2736e-05
62,10395.7,0.78588,0.63509,0.80064,0.61572,0.34218,0.39284,0.303,0.78635,0.83116,0.80378,2.21816e-05,2.21816e-05,2.21816e-05
63,10564.5,0.78706,0.63006,0.79861,0.5063,0.36011,0.39109,0.30155,0.78787,0.83487,0.80419,2.16272e-05,2.16272e-05,2.16272e-05
64,10732.2,0.76746,0.62103,0.79608,0.56847,0.34791,0.39622,0.30841,0.78659,0.8292,0.80384,2.10728e-05,2.10728e-05,2.10728e-05
